canonical_cluster,overridden,distinct_raw_forms,total_occurrences,source_count,sources,raw_forms
CENTRO DE CUIDADO Y DESARROLLO INFANTIL SAN PATRICIO,no,2,4,1,ACUDEN_2024,Centro de Cuidado y Desarrollo Infantil San Patricio Inc|Centro de Cuidado y Desarrollo Infantil San Patricio Inc.
CENTRO DE EDUCACION SOLES DEL JARDIN,no,2,4,1,ACUDEN_2024,"Centro de Educación Soles del Jardin Inc|Centro de Educación Soles del Jardín, Inc"
CENTRO DEL TRIUNFO,no,2,4,1,ACUDEN_2024,Centro Del Triunfo|Centro del Triunfo Inc.
CENTRO EDUCATIVO JUEGO EXPLORO Y APRENDO,no,2,4,1,ACUDEN_2024,"Centro Educativo Juego, Exploro y Aprendo Inc.|Centro Educativo: Juego, Exploro y Aprendo Inc."
CHIQUILLOS,no,2,4,1,ACUDEN_2024,Chiquillos Inc|Chiquillos Inc.
CHIQUIMUNDI,no,1,4,1,ACUDEN_2024,Chiquimundi LLC
CHOO CHOO TRAIN DAY CARE AND MORE,no,2,4,1,ACUDEN_2024,Choo Choo Train Day Care & More|Choo Choo Train Day Care & More Inc
CINDERELLA NURSERY DAY CARE CENTER,no,2,4,1,ACUDEN_2024,"Cinderella Nursery Day Care Center Inc|Cinderella Nursery Day Care Center, Inc."
COLEGIO LA MONSERRATE,no,2,4,1,ACUDEN_2024,"Colegio La Monserrate Inc.|Colegio La Monserrate, Inc."
CUIDO CORAZONCITO,no,1,4,1,ACUDEN_2024,Cuido Corazoncito Inc
DESIGN BUILD,no,1,4,1,ACT_2020,"Design Build, LLC"
DG3A DESIGN GROUP,no,1,4,1,ACT_2020,"DG3A Design Group, PSC"
ECOVAL,no,1,4,1,ACUDEN_2024,Ecoval LLC
ESCUELA AMBIENTE MONTESSORI MUNDO DEL NINO,no,1,4,1,ACUDEN_2024,Escuela Ambiente Montessori Mundo del Niño Inc.
FDDS MANAGEMENT AND ENGINEERING,no,1,4,1,ACT_2020,"FDDS MANAGEMENT & ENGINEERING, PSC"
FONDOS UNIOS DE PUERTO RICO,no,1,4,1,ACUDEN_2024,Fondos Unios de Puerto Rico Inc
FUNDACION EDUCATIVA CONCEPCION MARTIN CENTRO DE CUIDO SONIFEL,no,2,4,1,ACUDEN_2024,Fundación Educativa Concepción Martín (Centro de Cuido Sonifel)|Fundación Educativa Concepción Martín Inc. (Centro de Cuido Sonifel)
G DORADA,no,1,4,1,ACUDEN_2024,G Dorada Inc.
JARDIN MONTESSORI,no,2,4,1,ACUDEN_2024,Jardín Montessori Inc|Jardín Montessori Inc.
