source_id,family,required,path_type,wired_status,acquisition_status,materialization_status,coverage_status,reconciliation_status,freshness_status,certification_status,materiality_label,has_contract,local_rows,min_rows,fixture_signal,dropzone_path,coverage_reasons
fhwa_hpms_routes,infrastructure,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
fhwa_nbi_bridges,infrastructure,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
financialdata_net,optional_commercial_enrichment,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,True,,no coverage contract declared
follow_the_money,political_finance,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/follow_the_money/,no coverage contract declared
fpds_report_builder,federal,False,semantic_duplicate,semantic_duplicate,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
fred_timeseries,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
fsrs_subawards,federal,True,semantic_duplicate,semantic_duplicate,acquired_ingested,fully_materialized,unverifiable,not_applicable,unknown,provisional,substantial,True,5989,1,False,,authoritative_universe_total not yet measured (method: api_metadata)
fta_ntd,infrastructure,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
gaming_commission,territorial,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/Gaming/,no coverage contract declared
gao_ig_audits,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
gleif_lei,entity_resolution,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
grants_gov,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
hacienda,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
hacienda_sut_ivu,territorial,False,scraper_needed,scraper_stub,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
haf,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
hhs_grants,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
highergov_supplemental,federal,False,api_adapter,wired_adapter,automated,partially_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
hud_cdbg_dr_public,federal,True,api_producer,wired_producer,automated,fully_materialized,unverifiable,not_applicable,unknown,provisional,substantial,True,3808,1,False,,authoritative_universe_total not yet measured (method: bulk_file_metadata)
hud_cdbg_mit,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
hud_drgr_authorized,manual_export,True,manual_export,manual_dropzone,not_acquired,not_materialized,unverifiable,not_applicable,unknown,uncertified,empty,True,0,1,False,data/manual/hud_drgr/,authoritative_universe_total not yet measured (method: operator_attestation)
hud_hcv_section8,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
irs_ctc_eitc_pr,federal,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/IRS_CTC_EITC/,no coverage contract declared
lda,lobbying,True,api_adapter,wired_adapter,automated,fully_materialized,unverifiable,not_applicable,unknown,provisional,substantial,True,21112,1,True,,authoritative_universe_total not yet measured (method: api_metadata)
legislapr_discovery,territorial_legislation,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
legislapr_sessions,territorial_legislation,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
legislative_canonical_sources,territorial_legislation,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
legislative_fiscal_link_candidates,territorial_legislation,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
lihtc,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
loteria_pr,territorial,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/Loteria/,no coverage contract declared
medicaid_fmap,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
medicare_advantage,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
medicare_parts,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
msrb_rtrs_trades,bonds,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
municipal_finance,municipal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
nara_catalog_aws_open_data,provenance_archival,False,deferred_stub,deferred,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
nara_nextgen_catalog_v3,provenance_archival,False,deferred_stub,deferred,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
ncua,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
nfip_claims,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
ngo_integration_layer,nonprofit,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
nih_reporter,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
nmtc,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
nonprofits_irs990,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
oatrh_payroll,territorial,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/OATRH_Payroll/,no coverage contract declared
oce_socrata_live,political_finance,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
ocpr_contracts,territorial,False,api_producer,wired_producer,not_acquired,not_materialized,unverifiable,not_applicable,unknown,uncertified,empty,True,0,1,False,,authoritative_universe_total not yet measured (method: portal_count)
ofac_sdn,entity_resolution,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
oficina_contralor,territorial,True,api_producer,wired_producer,not_acquired,not_materialized,unverifiable,not_applicable,unknown,uncertified,empty,True,0,1,False,,authoritative_universe_total not yet measured (method: document_index)
ogpe_permits,municipal,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/OGPe/,no coverage contract declared
oia_grants,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
opm_fedscope,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
opportunity_zones,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
osl_sutra_crosswalk,territorial_legislation,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
p3_authority,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
ports_airports_contracts,infrastructure,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/manual/ports_airports_contracts/,no coverage contract declared
ports_airports_revenue,infrastructure_revenue,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/manual/ports_airports_revenue/,no coverage contract declared
ports_authority,infrastructure,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/Ports/,no coverage contract declared
pr_act_154_excise,territorial,False,scraper_needed,scraper_stub,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
pr_act_60_decrees,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
pr_cabilderos,lobbying,True,manual_export,manual_dropzone,not_acquired,not_materialized,unverifiable,not_applicable,unknown,uncertified,empty,True,0,1,False,data/raw/Cabilderos/,authoritative_universe_total not yet measured (method: document_index)
pr_corporate_registry,manual_export,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,True,data/raw/Active Contractor Listing/,no coverage contract declared
pr_general_fund_revenues,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
pr_income_tax_collections,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
pr_pensions,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
prasa,infrastructure,True,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/PRASA/,no coverage contract declared
prasa_cer,infrastructure,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/PRASA/cer/,no coverage contract declared
prasa_cip,infrastructure,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/PRASA/cip/,no coverage contract declared
prasa_completed_projects,infrastructure,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/PRASA/completed/,no coverage contract declared
prasa_completed_projects_ppp,infrastructure,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/documents/,no coverage contract declared
prasa_consulting_engineer_ppp,infrastructure,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/documents/,no coverage contract declared
prasa_contracts_master,infrastructure,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
prasa_rate_revenue,infrastructure_revenue,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/manual/prasa_rate_revenue/,no coverage contract declared
prepa_luma_genera,infrastructure,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
prepa_luma_rate_revenue,infrastructure_revenue,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/manual/prepa_rate_revenue/,no coverage contract declared
promesa_creditors,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
prpha_housing_subsidy,territorial,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/PRPHA/,no coverage contract declared
rdc_demandas_civiles,territorial,False,api_producer,wired_producer,automated,not_materialized,below_contract,not_applicable,unknown,uncertified,empty,True,0,1,False,,coverage 0.0% of 44706 < floor 95.0%
research_grants,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
roadwatch_corridor_join,infrastructure,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
rum_cover_over,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sam_entities,entity_resolution,True,api_adapter,wired_adapter,automated,fully_materialized,unverifiable,not_applicable,unknown,provisional,substantial,True,2378,1,False,,authoritative_universe_total not yet measured (method: bulk_file_metadata)
sam_exclusions,entity_resolution,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sam_opportunities,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sba_disaster_loans_pr,manual_export,False,manual_export,manual_dropzone,not_acquired,not_materialized,unverifiable,not_applicable,unknown,uncertified,empty,True,0,1,False,data/manual/sba_disaster_loans/,authoritative_universe_total not yet measured (method: api_metadata)
sba_loans,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sba_ppp,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sbir,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sec_13f_bpop_8q_certification,capital_control,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sec_13f_bpop_golden_freeze,capital_control,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sec_13f_nport,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sec_edgar,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sec_equity_identity_v2,capital_control,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,True,,no coverage contract declared
sec_holdings_discovery_v2,capital_control,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sec_officers,entity_resolution,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
sf133_budget_execution,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
slfrf,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
snap_nap,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
ssa,federal,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
