city_norm,total_donated,num_donors,municipality,federal_rows,federal_amount,federal_unique_targets,political_nodes,sample_political_nodes,sample_federal_targets,muni_norm,political_federal_ratio
SABANA GRANDE,1350.0,7,SABANA GRANDE,52,2649376.0,2,3,COMITE MUNICIPAL SABANA GRANDE PIP | COMITE MUNICIPAL SABANA GRANDE PNP | COMITE MUNICIPAL SABANA GRANDE PPD,MUNICIPALITY DE SABANA GRANDE | SABANA GRANDE LDP,SABANA GRANDE,0.0005095539477975
SALINAS,1760.0,47,SALINAS,97,3057119.36,3,2,COMITE MUNICIPAL SALINAS PIP | COMITE MUNICIPAL SALINAS PNP,"SALINAS LUMBER YARD INC | SALINAS TROPICAL & CATERING, INC | MUNICIPIO DE SALINAS",SALINAS,0.00057570535944
SAN GERMAN,3285.0,9,SAN GERMAN,59,2210990.0,3,3,COMITE MUNICIPAL SAN GERMAN PIP | COMITE MUNICIPAL SAN GERMAN PNP | COMITE MUNICIPAL SAN GERMAN PPD,"MUNICIPALITY OF SAN GERMAN | ALMONET SAN GERMAN CORPORATION | HOGAR ALBERGUE DE NIOS DE SAN GERMAN, INC.",SAN GERMAN,0.0014857597727714
SAN JUAN,2198697.58,1679,SAN JUAN,267,79338520.04,16,6,"COMITE MUNICIPAL SAN JUAN PIP | COMITE MUNICIPAL SAN JUAN PNP | COMITE MUNICIPAL SAN JUAN PPD | COMITE PRECINTO 001, SAN JUAN PNP | COMITE PRECINTO 003, SAN JUAN PNP","CAM SAN JUAN TENANT, LLC | OLD SAN JUAN ASSOCIATES LP | SAN JUAN TOWING & MARINE SERVICE INC | POSADAS DE SAN JUAN ASSOCIATES | SATELITE DE SAN JUAN CORP.",SAN JUAN,0.0277128635483934
SAN LORENZO,3470.0,21,SAN LORENZO,46,1605322.0,1,3,COMITE MUNICIPAL SAN LORENZO PIP | COMITE MUNICIPAL SAN LORENZO PNP | COMITE MUNICIPAL SAN LORENZO PPD,MUNICIPIO DE SAN LORENZO,SAN LORENZO,0.0021615601106818
SAN SEBASTIAN,6275.0,40,SAN SEBASTIAN,49,1871393.0,1,3,COMITE MUNICIPAL SAN SEBASTIAN PIP | COMITE MUNICIPAL SAN SEBASTIAN PNP | COMITE MUNICIPAL SAN SEBASTIAN PPD,MUNICIPIO SAN SEBASTIAN,SAN SEBASTIAN,0.003353117169937
SANTA ISABEL,3435.0,11,SANTA ISABEL,5,556137.0,1,1,COMITE MUNICIPAL SANTA ISABEL PNP,SANTA ISABEL L D P ASSOCIATES,SANTA ISABEL,0.0061765356378014
TOA ALTA,33716.25,69,TOA ALTA,50,3111461.0,1,2,COMITE MUNICIPAL TOA ALTA PIP | COMITE MUNICIPAL TOA ALTA PPD,MUNICIPIO DE TOA ALTA,TOA ALTA,0.0108361473918522
TOA BAJA,42460.0,84,TOA BAJA,54,4084037.8,1,3,COMITE MUNICIPAL TOA BAJA PIP | COMITE MUNICIPAL TOA BAJA PNP | COMITE MUNICIPAL TOA BAJA PPD,MUNICIPIO DE TOA BAJA,TOA BAJA,0.0103965737045822
TRUJILLO ALTO,60500.0,101,TRUJILLO ALTO,69,15863049.0,3,4,"COMITE MUNICIPAL TRUJILLO ALTO PIP | COMITE MUNICIPAL TRUJILLO ALTO PNP | COMITE MUNICIPAL TRUJILLO ALTO PPD | COMITE PRECINTO 109, TRUJILLO ALTO PIP",EGIDA DEL POLICIA TRUJILLO ALTO | MUNICIPALITY OF TRUJILLO ALTO | TRUJILLO ALTO HOUSING ASSOCIATES,TRUJILLO ALTO,0.0038138947941218
UTUADO,3270.0,13,UTUADO,44,2924354.0,1,2,COMITE MUNICIPAL UTUADO PIP | COMITE MUNICIPAL UTUADO PNP,GOBIERNO MUNICIPAL DE UTUADO,UTUADO,0.0011181956767203
VEGA ALTA,11930.0,9,VEGA ALTA,51,1764197.0,1,2,COMITE MUNICIPAL VEGA ALTA PIP | COMITE MUNICIPAL VEGA ALTA PNP,MUNICIPALITY OF VEGA ALTA,VEGA ALTA,0.0067622833504421
VEGA BAJA,15950.0,16,VEGA BAJA,49,4331853.0,1,3,COMITE MUNICIPAL VEGA BAJA PIP | COMITE MUNICIPAL VEGA BAJA PNP | COMITE MUNICIPAL VEGA BAJA PPD,MUNICIPIO DE VEGA BAJA,VEGA BAJA,0.0036820270678621
VIEQUES,2500.0,1,VIEQUES,93,3249276.1,3,2,COMITE MUNICIPAL VIEQUES PIP | COMITE MUNICIPAL VIEQUES PPD,"VIEQUES OFFICE PARK, INC | PRI/USA, A VIEQUES JV | VIEQUES, MUNICIPALITY OF",VIEQUES,0.0007694021446807
VILLALBA,1185.0,10,VILLALBA,54,3635109.32,3,3,COMITE MUNICIPAL VILLALBA PIP | COMITE MUNICIPAL VILLALBA PNP | COMITE MUNICIPAL VILLALBA PPD,VILLALBA CANNING COMPANY | MUNICIPIO DE VILLALBA | VILLALBA HOUSING FOR THE ELDERLY INC,VILLALBA,0.0003259874451313
YABUCOA,10552.5,13,YABUCOA,51,146970210.82,3,3,COMITE MUNICIPAL YABUCOA PIP | COMITE MUNICIPAL YABUCOA PNP | COMITE MUNICIPAL YABUCOA PPD,SHELL CHEMICAL YABUCOA INC | YABUCOA VOLUNTEERS OF AMERICA ELDERLY HOUSING INC | MUNICIPIO DE YABUCOA,YABUCOA,7.180026442857899e-05
YAUCO,21145.0,32,YAUCO,61,1814798.0,2,2,COMITE MUNICIPAL YAUCO PNP | COMITE MUNICIPAL YAUCO PPD,"PARTS PUERTO RICO OF YAUCO, INC. | MUNICIPIO DE YAUCO",YAUCO,0.0116514344847195
